latitude;longitude;brightness;scan;track;acq_date;acq_time;satellite;instrument;confidence;version;bright_t31;frp;daynight
44276;23107;3027;21;14;21/7/2021;105;Aqua;MODIS;51;6.1NRT;289;178;N
44373;22968;3405;21;14;21/7/2021;850;Terra;MODIS;91;6.1NRT;2991;1129;D
44371;22995;3425;21;14;21/7/2021;850;Terra;MODIS;92;6.1NRT;2993;1208;D
4436;22966;3162;21;14;21/7/2021;850;Terra;MODIS;29;6.1NRT;2994;206;D
4437;23001;3359;21;14;21/7/2021;850;Terra;MODIS;88;6.1NRT;2979;901;D
44213;22858;3299;22;14;21/7/2021;850;Terra;MODIS;84;6.1NRT;2988;691;D
44207;23127;3179;21;14;21/7/2021;850;Terra;MODIS;71;6.1NRT;2996;211;D
44242;22998;3215;21;14;21/7/2021;850;Terra;MODIS;66;6.1NRT;2983;327;D
42188;25877;3183;14;12;21/7/2021;850;Terra;MODIS;34;6.1NRT;3026;82;D
45616;29123;3211;11;11;21/7/2021;850;Terra;MODIS;74;6.1NRT;2993;129;D
45638;29418;3231;11;1;21/7/2021;850;Terra;MODIS;71;6.1NRT;2986;151;D
44372;22975;351;21;14;21/7/2021;850;Terra;MODIS;96;6.1NRT;3003;1745;D
42519;19263;3147;38;18;21/7/2021;1030;Terra;MODIS;57;6.1NRT;2996;462;D
45142;9943;3316;11;1;21/7/2021;1030;Terra;MODIS;72;6.1NRT;3013;239;D
44246;12;321;14;12;21/7/2021;1030;Terra;MODIS;67;6.1NRT;3041;122;D
44401;11343;3223;13;11;21/7/2021;1030;Terra;MODIS;61;6.1NRT;3066;116;D
45927;12646;3167;14;12;21/7/2021;1030;Terra;MODIS;36;6.1NRT;3011;93;D
45409;10968;3223;12;11;21/7/2021;1030;Terra;MODIS;64;6.1NRT;3042;97;D
45371;11287;3185;12;11;21/7/2021;1030;Terra;MODIS;52;6.1NRT;302;82;D
44503;11071;3218;12;11;21/7/2021;1030;Terra;MODIS;57;6.1NRT;3066;75;D
44544;11303;3241;13;11;21/7/2021;1030;Terra;MODIS;58;6.1NRT;307;95;D
45974;12628;3247;13;11;21/7/2021;1030;Terra;MODIS;81;6.1NRT;3033;173;D
45764;1242;3157;13;11;21/7/2021;1030;Terra;MODIS;70;6.1NRT;3005;81;D
45744;12616;3165;14;12;21/7/2021;1030;Terra;MODIS;67;6.1NRT;3018;88;D
45416;11096;3206;12;11;21/7/2021;1030;Terra;MODIS;69;6.1NRT;3028;119;D
44622;1058;3279;12;11;21/7/2021;1030;Terra;MODIS;73;6.1NRT;3036;157;D
45405;11267;317;12;11;21/7/2021;1030;Terra;MODIS;43;6.1NRT;3015;75;D
45519;115;3195;12;11;21/7/2021;1030;Terra;MODIS;23;6.1NRT;3034;102;D
45764;11005;3127;12;11;21/7/2021;1030;Terra;MODIS;50;6.1NRT;300;86;D
45865;1227;3213;13;11;21/7/2021;1030;Terra;MODIS;61;6.1NRT;303;132;D
44624;10586;3288;12;11;21/7/2021;1030;Terra;MODIS;77;6.1NRT;3038;171;D
44627;10572;3331;12;11;21/7/2021;1030;Terra;MODIS;82;6.1NRT;3044;242;D
42512;19258;3124;38;18;21/7/2021;1030;Terra;MODIS;39;6.1NRT;3002;291;D
44294;22745;3136;38;18;21/7/2021;1035;Aqua;MODIS;52;6.1NRT;294;544;D
46925;32407;3185;11;11;21/7/2021;1035;Aqua;MODIS;45;6.1NRT;2953;93;D
42577;24854;3181;33;17;21/7/2021;1035;Aqua;MODIS;74;6.1NRT;3055;467;D
43223;2735;3119;23;15;21/7/2021;1035;Aqua;MODIS;63;6.1NRT;2952;229;D
443;22738;3126;38;18;21/7/2021;1035;Aqua;MODIS;60;6.1NRT;2928;486;D
44205;22903;3336;38;18;21/7/2021;1035;Aqua;MODIS;87;6.1NRT;2959;1791;D
44193;22858;3469;38;18;21/7/2021;1035;Aqua;MODIS;82;6.1NRT;2959;3387;D
4422;22895;321;38;18;21/7/2021;1035;Aqua;MODIS;78;6.1NRT;2966;824;D
44208;2285;3428;38;18;21/7/2021;1035;Aqua;MODIS;80;6.1NRT;298;2928;D
44211;22892;3472;38;18;21/7/2021;1035;Aqua;MODIS;94;6.1NRT;297;3376;D
44199;22847;3445;38;18;21/7/2021;1035;Aqua;MODIS;88;6.1NRT;2975;3062;D
44355;22967;3123;37;18;21/7/2021;1035;Aqua;MODIS;34;6.1NRT;2953;349;D
44306;2279;3106;38;18;21/7/2021;1035;Aqua;MODIS;64;6.1NRT;291;373;D
37949;15937;3334;11;1;21/7/2021;1210;Aqua;MODIS;82;6.1NRT;3056;203;D
4442;11347;3241;1;1;21/7/2021;1215;Aqua;MODIS;57;6.1NRT;3086;67;D
44489;11243;3289;1;1;21/7/2021;1215;Aqua;MODIS;48;6.1NRT;3114;95;D
44498;11241;3288;1;1;21/7/2021;1215;Aqua;MODIS;54;6.1NRT;3108;82;D
44302;22768;324;3;16;21/7/2021;1215;Aqua;MODIS;80;6.1NRT;2984;802;D
44344;23031;3196;31;17;21/7/2021;1215;Aqua;MODIS;45;6.1NRT;2975;476;D
44301;22777;3229;3;16;21/7/2021;1215;Aqua;MODIS;79;6.1NRT;2982;745;D
45861;1227;3228;1;1;21/7/2021;1215;Aqua;MODIS;53;6.1NRT;3062;74;D
41411;1594;3381;12;11;21/7/2021;1215;Aqua;MODIS;84;6.1NRT;3133;29;D
44359;23029;325;31;17;21/7/2021;1215;Aqua;MODIS;78;6.1NRT;2981;777;D
44218;22865;329;3;16;21/7/2021;1215;Aqua;MODIS;84;6.1NRT;2985;1022;D
44216;22827;3161;3;16;21/7/2021;1215;Aqua;MODIS;62;6.1NRT;2969;364;D
44216;2286;3324;3;16;21/7/2021;1215;Aqua;MODIS;86;6.1NRT;2987;1245;D
41041;15911;3271;12;11;21/7/2021;1215;Aqua;MODIS;57;6.1NRT;3115;105;D
41054;15852;3284;12;11;21/7/2021;1215;Aqua;MODIS;55;6.1NRT;311;112;D
4251;1927;332;18;13;21/7/2021;1215;Aqua;MODIS;86;6.1NRT;3069;503;D
42509;19249;3206;18;13;21/7/2021;1215;Aqua;MODIS;71;6.1NRT;3037;18;D
43854;10599;3209;1;1;21/7/2021;1215;Aqua;MODIS;67;6.1NRT;304;8;D
45145;9952;3248;1;1;21/7/2021;1215;Aqua;MODIS;67;6.1NRT;3068;12;D
45143;9939;3516;1;1;21/7/2021;1215;Aqua;MODIS;90;6.1NRT;3072;572;D
40215;15129;3163;11;1;21/7/2021;1215;Aqua;MODIS;22;6.1NRT;3019;5;D
